,HAPPY,YEAR,AGE,WORKLIFE,MEDITATE,PERHRH,TWITTER,INSTAGRM,SATJOB1,NUMPETS,DOG,CAT,HLPNEEDY,VISZOO,VISTHOLY
383,2,1972,56,,,,,,,,,,,,
384,2,1972,49,,,,,,,,,,,,
385,2,1972,52,,,,,,,,,,,,
386,2,1972,40,,,,,,,,,,,,
387,2,1972,48,,,,,,,,,,,,
388,2,1972,47,,,,,,,,,,,,
389,1,1972,31,,,,,,,,,,,,
390,2,1972,21,,,,,,,,,,,,
391,3,1972,84,,,,,,,,,,,,
392,2,1972,61,,,,,,,,,,,,
393,2,1972,46,,,,,,,,,,,,
394,3,1972,39,,,,,,,,,,,,
395,2,1972,64,,,,,,,,,,,,
396,2,1972,77,,,,,,,,,,,,
397,2,1972,25,,,,,,,,,,,,
398,2,1972,53,,,,,,,,,,,,
399,2,1972,52,,,,,,,,,,,,
400,2,1972,71,,,,,,,,,,,,
401,1,1972,52,,,,,,,,,,,,
402,1,1972,57,,,,,,,,,,,,
403,1,1972,69,,,,,,,,,,,,
404,2,1972,74,,,,,,,,,,,,
405,2,1972,58,,,,,,,,,,,,
406,1,1972,23,,,,,,,,,,,,
407,1,1972,61,,,,,,,,,,,,
408,2,1972,60,,,,,,,,,,,,
409,2,1972,36,,,,,,,,,,,,
410,2,1972,58,,,,,,,,,,,,
411,2,1972,28,,,,,,,,,,,,
412,3,1972,29,,,,,,,,,,,,
413,1,1972,25,,,,,,,,,,,,
414,2,1972,57,,,,,,,,,,,,
415,1,1972,26,,,,,,,,,,,,
416,2,1972,55,,,,,,,,,,,,
417,1,1972,29,,,,,,,,,,,,
418,1,1972,68,,,,,,,,,,,,
419,1,1972,18,,,,,,,,,,,,
420,2,1972,49,,,,,,,,,,,,
421,1,1972,64,,,,,,,,,,,,
422,2,1972,38,,,,,,,,,,,,
423,2,1972,30,,,,,,,,,,,,
424,2,1972,56,,,,,,,,,,,,
425,2,1972,20,,,,,,,,,,,,
426,2,1972,19,,,,,,,,,,,,
427,1,1972,50,,,,,,,,,,,,
428,1,1972,38,,,,,,,,,,,,
429,2,1972,64,,,,,,,,,,,,
430,3,1972,74,,,,,,,,,,,,
431,2,1972,75,,,,,,,,,,,,
432,3,1972,22,,,,,,,,,,,,
433,,1972,75,,,,,,,,,,,,
434,2,1972,23,,,,,,,,,,,,
435,2,1972,79,,,,,,,,,,,,
436,2,1972,60,,,,,,,,,,,,
437,2,1972,26,,,,,,,,,,,,
438,1,1972,63,,,,,,,,,,,,
439,2,1972,63,,,,,,,,,,,,
440,1,1972,34,,,,,,,,,,,,
441,1,1972,33,,,,,,,,,,,,
442,2,1972,53,,,,,,,,,,,,
443,1,1972,78,,,,,,,,,,,,
444,2,1972,22,,,,,,,,,,,,
445,2,1972,32,,,,,,,,,,,,
446,2,1972,27,,,,,,,,,,,,
447,2,1972,35,,,,,,,,,,,,
448,2,1972,39,,,,,,,,,,,,
449,2,1972,24,,,,,,,,,,,,
450,2,1972,22,,,,,,,,,,,,
451,2,1972,28,,,,,,,,,,,,
452,2,1972,57,,,,,,,,,,,,
453,1,1972,48,,,,,,,,,,,,
454,2,1972,26,,,,,,,,,,,,
455,2,1972,50,,,,,,,,,,,,
456,2,1972,32,,,,,,,,,,,,
457,3,1972,56,,,,,,,,,,,,
458,2,1972,26,,,,,,,,,,,,
459,2,1972,30,,,,,,,,,,,,
460,3,1972,83,,,,,,,,,,,,
461,2,1972,26,,,,,,,,,,,,
462,2,1972,20,,,,,,,,,,,,
463,1,1972,41,,,,,,,,,,,,
464,3,1972,56,,,,,,,,,,,,
465,2,1972,83,,,,,,,,,,,,
466,1,1972,27,,,,,,,,,,,,
467,3,1972,21,,,,,,,,,,,,
468,1,1972,19,,,,,,,,,,,,
469,1,1972,41,,,,,,,,,,,,
470,1,1972,35,,,,,,,,,,,,
471,2,1972,57,,,,,,,,,,,,
472,2,1972,42,,,,,,,,,,,,
473,1,1972,54,,,,,,,,,,,,
474,2,1972,24,,,,,,,,,,,,
475,1,1972,62,,,,,,,,,,,,
476,2,1972,39,,,,,,,,,,,,
477,1,1972,24,,,,,,,,,,,,
478,1,1972,66,,,,,,,,,,,,
479,2,1972,55,,,,,,,,,,,,
480,2,1972,25,,,,,,,,,,,,
481,2,1972,61,,,,,,,,,,,,
482,1,1972,62,,,,,,,,,,,,
483,1,1972,29,,,,,,,,,,,,
484,2,1972,27,,,,,,,,,,,,
485,2,1972,44,,,,,,,,,,,,
486,1,1972,44,,,,,,,,,,,,
487,3,1972,34,,,,,,,,,,,,
488,1,1972,23,,,,,,,,,,,,
489,2,1972,58,,,,,,,,,,,,
490,1,1972,24,,,,,,,,,,,,
491,1,1972,34,,,,,,,,,,,,
492,1,1972,42,,,,,,,,,,,,
493,1,1972,32,,,,,,,,,,,,
494,2,1972,52,,,,,,,,,,,,
495,2,1972,22,,,,,,,,,,,,
496,3,1972,35,,,,,,,,,,,,
497,3,1972,45,,,,,,,,,,,,
498,1,1972,30,,,,,,,,,,,,
499,1,1972,35,,,,,,,,,,,,
500,1,1972,36,,,,,,,,,,,,
501,1,1972,57,,,,,,,,,,,,
502,2,1972,28,,,,,,,,,,,,
503,1,1972,42,,,,,,,,,,,,
504,2,1972,23,,,,,,,,,,,,
505,3,1972,53,,,,,,,,,,,,
506,1,1972,22,,,,,,,,,,,,
507,2,1972,60,,,,,,,,,,,,
508,1,1972,56,,,,,,,,,,,,
509,2,1972,24,,,,,,,,,,,,
510,2,1972,26,,,,,,,,,,,,
511,3,1972,55,,,,,,,,,,,,
512,1,1972,20,,,,,,,,,,,,
513,1,1972,30,,,,,,,,,,,,
514,2,1972,26,,,,,,,,,,,,
515,2,1972,36,,,,,,,,,,,,
516,2,1972,42,,,,,,,,,,,,
517,2,1972,28,,,,,,,,,,,,
518,1,1972,54,,,,,,,,,,,,
519,1,1972,49,,,,,,,,,,,,
520,1,1972,30,,,,,,,,,,,,
521,1,1972,40,,,,,,,,,,,,
522,1,1972,55,,,,,,,,,,,,
523,3,1972,74,,,,,,,,,,,,
524,3,1972,48,,,,,,,,,,,,
525,2,1972,63,,,,,,,,,,,,
526,1,1972,72,,,,,,,,,,,,
527,2,1972,30,,,,,,,,,,,,
528,2,1972,78,,,,,,,,,,,,
529,1,1972,44,,,,,,,,,,,,
530,2,1972,48,,,,,,,,,,,,
531,3,1972,29,,,,,,,,,,,,
532,2,1972,21,,,,,,,,,,,,
533,1,1972,20,,,,,,,,,,,,
534,3,1972,52,,,,,,,,,,,,
535,2,1972,40,,,,,,,,,,,,
536,3,1972,42,,,,,,,,,,,,
537,2,1972,54,,,,,,,,,,,,
538,2,1972,43,,,,,,,,,,,,
539,1,1972,25,,,,,,,,,,,,
540,3,1972,28,,,,,,,,,,,,
541,2,1972,43,,,,,,,,,,,,
542,1,1972,45,,,,,,,,,,,,
543,2,1972,48,,,,,,,,,,,,
544,2,1972,36,,,,,,,,,,,,
545,2,1972,28,,,,,,,,,,,,
546,1,1972,27,,,,,,,,,,,,
547,1,1972,52,,,,,,,,,,,,
548,2,1972,20,,,,,,,,,,,,
549,2,1972,28,,,,,,,,,,,,
550,2,1972,38,,,,,,,,,,,,
551,1,1972,48,,,,,,,,,,,,
552,3,1972,47,,,,,,,,,,,,
553,2,1972,59,,,,,,,,,,,,
554,2,1972,26,,,,,,,,,,,,
555,3,1972,63,,,,,,,,,,,,
556,2,1972,80,,,,,,,,,,,,
557,3,1972,68,,,,,,,,,,,,
558,2,1972,49,,,,,,,,,,,,
559,2,1972,21,,,,,,,,,,,,
560,1,1972,27,,,,,,,,,,,,
561,2,1972,41,,,,,,,,,,,,
562,2,1972,31,,,,,,,,,,,,
563,3,1972,76,,,,,,,,,,,,
564,2,1972,26,,,,,,,,,,,,
565,3,1972,73,,,,,,,,,,,,
566,2,1972,49,,,,,,,,,,,,
567,1,1972,72,,,,,,,,,,,,
568,2,1972,53,,,,,,,,,,,,
569,2,1972,39,,,,,,,,,,,,
570,3,1972,31,,,,,,,,,,,,
571,2,1972,52,,,,,,,,,,,,
572,2,1972,61,,,,,,,,,,,,
573,2,1972,85,,,,,,,,,,,,
574,3,1972,54,,,,,,,,,,,,
575,1,1972,69,,,,,,,,,,,,
576,1,1972,65,,,,,,,,,,,,
577,1,1972,41,,,,,,,,,,,,
578,1,1972,58,,,,,,,,,,,,
579,2,1972,57,,,,,,,,,,,,
580,2,1972,55,,,,,,,,,,,,
581,2,1972,47,,,,,,,,,,,,
582,1,1972,60,,,,,,,,,,,,
583,1,1972,53,,,,,,,,,,,,
584,2,1972,57,,,,,,,,,,,,
585,2,1972,28,,,,,,,,,,,,
586,1,1972,48,,,,,,,,,,,,
587,3,1972,51,,,,,,,,,,,,
588,1,1972,33,,,,,,,,,,,,
589,2,1972,47,,,,,,,,,,,,
590,1,1972,36,,,,,,,,,,,,
591,2,1972,19,,,,,,,,,,,,
592,2,1972,26,,,,,,,,,,,,
593,2,1972,25,,,,,,,,,,,,
594,1,1972,24,,,,,,,,,,,,
595,1,1972,22,,,,,,,,,,,,
596,2,1972,25,,,,,,,,,,,,
597,2,1972,21,,,,,,,,,,,,
598,2,1972,29,,,,,,,,,,,,
599,3,1972,26,,,,,,,,,,,,
600,1,1972,21,,,,,,,,,,,,
601,1,1972,53,,,,,,,,,,,,
602,2,1972,44,,,,,,,,,,,,
603,2,1972,46,,,,,,,,,,,,
604,1,1972,46,,,,,,,,,,,,
605,1,1972,60,,,,,,,,,,,,
